timestamp,hours,temperature_c,humidity_pct,fridge_power_w,front_door_open,fire_alarm,anomaly_class
2025-01-01 00:00:00,0,12.47,35.22,172.3,0,0,0
2025-01-01 01:00:00,1,11.48,34.69,170.1,0,0,0
2025-01-01 02:00:00,2,11.13,37.74,170.4,0,0,0
2025-01-01 03:00:00,3,11.62,38.99,172.0,0,0,0
2025-01-01 04:00:00,4,11.78,35.24,170.0,0,0,0
2025-01-01 05:00:00,5,11.53,34.27,169.6,0,0,0
2025-01-01 06:00:00,6,12.36,35.06,171.3,0,0,0
2025-01-01 07:00:00,7,12.07,55.23,172.1,0,0,0
2025-01-01 08:00:00,8,13.19,36.92,171.5,1,0,0
2025-01-01 09:00:00,9,13.9,36.62,170.9,0,0,0
2025-01-01 10:00:00,10,15.18,35.04,168.8,0,0,0
2025-01-01 11:00:00,11,15.35,37.75,171.9,0,0,0
2025-01-01 12:00:00,12,16.35,38.51,169.7,0,0,0
2025-01-01 13:00:00,13,16.6,33.23,173.8,0,0,0
2025-01-01 14:00:00,14,16.64,37.97,171.7,0,0,0
2025-01-01 15:00:00,15,16.69,38.35,172.9,0,0,0
2025-01-01 16:00:00,16,16.5,34.83,171.3,0,0,0
2025-01-01 17:00:00,17,16.33,37.05,172.4,0,0,0
2025-01-01 18:00:00,18,15.66,33.29,171.9,1,0,0
2025-01-01 19:00:00,19,15.85,59.73,171.9,0,0,0
2025-01-01 20:00:00,20,15.05,35.21,173.3,0,0,0
2025-01-01 21:00:00,21,14.3,38.56,171.3,0,0,0
2025-01-01 22:00:00,22,13.09,60.6,172.6,0,0,0
2025-01-01 23:00:00,23,12.49,36.57,172.2,0,0,0
2025-01-02 00:00:00,0,12.23,33.37,172.6,0,0,0
2025-01-02 01:00:00,1,11.48,37.07,173.1,0,0,0
2025-01-02 02:00:00,2,11.46,34.57,172.9,0,0,0
2025-01-02 03:00:00,3,11.37,34.34,170.6,0,0,0
2025-01-02 04:00:00,4,11.91,34.68,173.3,0,0,0
2025-01-02 05:00:00,5,11.38,33.19,172.2,0,0,0
2025-01-02 06:00:00,6,11.28,38.16,173.7,0,0,0
2025-01-02 07:00:00,7,12.15,63.47,175.6,0,0,0
2025-01-02 08:00:00,8,13.68,37.98,171.4,1,0,0
2025-01-02 09:00:00,9,13.77,34.88,173.1,0,0,0
2025-01-02 10:00:00,10,14.84,37.01,174.1,0,0,0
2025-01-02 11:00:00,11,15.0,34.52,171.7,0,0,0
2025-01-02 12:00:00,12,15.9,34.62,173.4,0,0,0
2025-01-02 13:00:00,13,16.54,36.72,171.8,0,0,0
2025-01-02 14:00:00,14,16.44,35.13,173.3,0,0,0
2025-01-02 15:00:00,15,16.3,35.21,172.6,0,0,0
2025-01-02 16:00:00,16,16.35,36.74,173.4,0,0,0
2025-01-02 17:00:00,17,15.58,37.55,174.2,0,0,0
2025-01-02 18:00:00,18,15.61,40.99,172.5,1,0,0
2025-01-02 19:00:00,19,15.4,53.04,173.0,0,0,0
2025-01-02 20:00:00,20,13.97,36.21,173.6,0,0,0
2025-01-02 21:00:00,21,14.33,33.9,171.8,0,0,0
2025-01-02 22:00:00,22,13.24,62.19,173.0,0,0,0
2025-01-02 23:00:00,23,12.6,34.41,176.4,0,0,0
2025-01-03 00:00:00,0,11.86,31.07,174.2,0,0,0
2025-01-03 01:00:00,1,11.71,36.44,173.7,0,0,0
2025-01-03 02:00:00,2,11.26,38.41,172.4,0,0,0
2025-01-03 03:00:00,3,11.42,34.99,173.5,0,0,0
2025-01-03 04:00:00,4,11.09,33.93,175.7,0,0,0
2025-01-03 05:00:00,5,11.76,39.82,174.7,0,0,0
2025-01-03 06:00:00,6,11.79,36.4,173.6,0,0,0
2025-01-03 07:00:00,7,13.01,63.16,172.0,0,0,0
2025-01-03 08:00:00,8,14.09,35.58,174.5,1,0,0
2025-01-03 09:00:00,9,14.18,40.41,175.0,0,0,0
2025-01-03 10:00:00,10,14.55,38.28,173.9,0,0,0
2025-01-03 11:00:00,11,15.16,34.9,173.3,0,0,0
2025-01-03 12:00:00,12,16.09,35.24,174.5,0,0,0
2025-01-03 13:00:00,13,16.4,34.81,174.5,0,0,0
2025-01-03 14:00:00,14,16.87,34.87,174.1,0,0,0
2025-01-03 15:00:00,15,16.24,35.27,172.8,0,0,0
2025-01-03 16:00:00,16,16.68,39.4,174.3,0,0,0
2025-01-03 17:00:00,17,16.01,35.26,173.5,0,0,0
2025-01-03 18:00:00,18,16.0,36.28,175.3,1,0,0
2025-01-03 19:00:00,19,15.11,64.17,177.1,0,0,0
2025-01-03 20:00:00,20,14.8,35.25,176.1,0,0,0
2025-01-03 21:00:00,21,14.21,37.05,176.4,0,0,0
2025-01-03 22:00:00,22,13.39,64.37,175.2,0,0,0
2025-01-03 23:00:00,23,13.06,31.59,173.5,0,0,0
2025-01-04 00:00:00,0,11.8,32.62,175.4,0,0,0
2025-01-04 01:00:00,1,11.34,34.11,176.3,0,0,0
2025-01-04 02:00:00,2,11.2,33.75,175.7,0,0,0
2025-01-04 03:00:00,3,10.99,36.47,174.5,0,0,0
2025-01-04 04:00:00,4,10.33,34.13,176.5,0,0,0
2025-01-04 05:00:00,5,11.6,35.28,173.9,0,0,0
2025-01-04 06:00:00,6,11.86,37.2,177.1,0,0,0
2025-01-04 07:00:00,7,11.81,59.52,173.9,0,0,0
2025-01-04 08:00:00,8,13.33,37.44,175.7,1,0,0
2025-01-04 09:00:00,9,13.71,33.83,175.8,0,0,0
2025-01-04 10:00:00,10,14.42,36.23,175.6,0,0,0
2025-01-04 11:00:00,11,14.94,36.13,174.6,0,0,0
2025-01-04 12:00:00,12,15.95,36.87,177.5,0,0,0
2025-01-04 13:00:00,13,16.29,35.81,174.1,0,0,0
2025-01-04 14:00:00,14,16.49,37.06,175.7,0,0,0
2025-01-04 15:00:00,15,16.99,34.16,173.4,0,0,0
2025-01-04 16:00:00,16,16.89,33.36,174.4,0,0,0
2025-01-04 17:00:00,17,16.08,40.3,175.1,0,0,0
2025-01-04 18:00:00,18,16.26,36.27,174.4,1,0,0
2025-01-04 19:00:00,19,15.55,68.93,175.2,0,0,0
2025-01-04 20:00:00,20,14.3,34.65,176.0,0,0,0
2025-01-04 21:00:00,21,13.64,36.52,174.2,0,0,0
2025-01-04 22:00:00,22,13.16,65.39,173.2,0,0,0
2025-01-04 23:00:00,23,12.28,36.22,175.4,0,0,0
2025-01-05 00:00:00,0,12.29,35.48,175.0,0,0,0
2025-01-05 01:00:00,1,11.69,33.52,175.1,0,0,0
2025-01-05 02:00:00,2,11.92,36.73,174.6,0,0,0
2025-01-05 03:00:00,3,11.45,36.16,174.7,0,0,0
2025-01-05 04:00:00,4,11.27,37.15,174.7,0,0,0
2025-01-05 05:00:00,5,12.27,33.5,177.0,0,0,0
2025-01-05 06:00:00,6,11.97,36.43,175.3,0,0,0
2025-01-05 07:00:00,7,12.76,56.89,177.5,0,0,0
2025-01-05 08:00:00,8,13.03,38.95,175.0,1,0,0
2025-01-05 09:00:00,9,13.72,34.48,175.7,0,0,0
2025-01-05 10:00:00,10,15.59,38.85,175.3,0,0,0
2025-01-05 11:00:00,11,15.23,40.94,173.5,0,0,0
2025-01-05 12:00:00,12,15.88,37.56,174.8,0,0,0
2025-01-05 13:00:00,13,16.61,37.13,174.6,0,0,0
2025-01-05 14:00:00,14,16.35,35.08,174.4,0,0,0
2025-01-05 15:00:00,15,16.89,40.2,176.8,0,0,0
2025-01-05 16:00:00,16,16.65,34.83,174.2,0,0,0
2025-01-05 17:00:00,17,16.81,34.13,175.2,0,0,0
2025-01-05 18:00:00,18,15.92,34.47,173.1,1,0,0
2025-01-05 19:00:00,19,15.31,63.7,174.4,0,0,0
2025-01-05 20:00:00,20,14.65,36.95,175.4,0,0,0
2025-01-05 21:00:00,21,13.6,34.41,175.8,1,0,0
2025-01-05 22:00:00,22,13.66,63.66,176.9,0,0,0
2025-01-05 23:00:00,23,12.65,35.4,174.7,0,0,0
2025-01-06 00:00:00,0,11.65,37.61,174.5,0,0,0
2025-01-06 01:00:00,1,11.55,39.33,177.1,0,0,0
2025-01-06 02:00:00,2,11.12,33.82,176.3,0,0,0
2025-01-06 03:00:00,3,10.99,40.31,173.4,0,0,0
2025-01-06 04:00:00,4,11.31,35.71,176.1,0,0,0
2025-01-06 05:00:00,5,10.84,38.54,173.2,0,0,0
2025-01-06 06:00:00,6,12.31,37.44,175.8,0,0,0
2025-01-06 07:00:00,7,13.11,67.92,173.9,0,0,0
2025-01-06 08:00:00,8,13.35,39.65,173.3,1,0,0
2025-01-06 09:00:00,9,14.21,35.72,173.9,0,0,0
