timestamp,temperature_c,humidity_pct,fridge_power_w,front_door_open,fire_alarm,anomaly_class,user_id
2025-01-01 00:00:00,19.71,42.12,154.2,0,0,0,36
2025-01-01 00:05:00,20.35,44.13,159.4,0,0,0,36
2025-01-01 00:10:00,19.75,43.49,165.8,0,0,0,36
2025-01-01 00:15:00,19.17,44.83,159.0,0,0,0,36
2025-01-01 00:20:00,20.16,46.65,170.8,0,0,0,36
2025-01-01 00:25:00,18.87,44.95,163.5,0,0,0,36
2025-01-01 00:30:00,20.04,42.94,169.1,0,0,0,36
2025-01-01 00:35:00,20.07,44.42,167.3,0,0,0,36
2025-01-01 00:40:00,19.05,45.79,167.6,0,0,0,36
2025-01-01 00:45:00,20.24,43.81,166.6,0,0,0,36
2025-01-01 00:50:00,20.54,44.77,176.4,0,0,0,36
2025-01-01 00:55:00,19.77,42.76,162.6,0,0,0,36
2025-01-01 01:00:00,19.42,42.77,172.3,0,0,0,36
2025-01-01 01:05:00,20.24,45.85,176.7,0,0,0,36
2025-01-01 01:10:00,19.18,42.85,160.7,0,0,0,36
2025-01-01 01:15:00,19.69,45.97,162.0,0,0,0,36
2025-01-01 01:20:00,19.29,44.43,168.2,0,0,0,36
2025-01-01 01:25:00,19.97,44.62,159.9,0,0,0,36
2025-01-01 01:30:00,19.65,46.69,165.7,0,0,0,36
2025-01-01 01:35:00,18.85,42.92,162.5,0,0,0,36
2025-01-01 01:40:00,18.4,44.04,157.3,0,0,0,36
2025-01-01 01:45:00,20.06,44.29,150.1,0,0,0,36
2025-01-01 01:50:00,19.38,44.36,157.4,0,0,0,36
2025-01-01 01:55:00,18.82,43.92,155.2,0,0,0,36
2025-01-01 02:00:00,19.13,42.84,145.7,0,0,0,36
2025-01-01 02:05:00,19.0,41.01,151.5,0,0,0,36
2025-01-01 02:10:00,19.38,41.68,153.4,0,0,0,36
2025-01-01 02:15:00,19.87,43.11,148.2,0,0,0,36
2025-01-01 02:20:00,18.94,45.12,152.2,0,0,0,36
2025-01-01 02:25:00,19.57,41.52,143.4,0,0,0,36
2025-01-01 02:30:00,18.94,45.97,159.7,0,0,0,36
