timestamp,temperature_c,humidity_pct,fridge_power_w,front_door_open,fire_alarm,anomaly_class
2025-01-01 00:00:00,19.13,43.77,142.5,0,0,0
2025-01-01 00:05:00,18.76,44.22,155.6,0,0,0
2025-01-01 00:10:00,19.11,45.57,154.0,0,0,0
2025-01-01 00:15:00,19.51,45.67,147.9,0,0,0
2025-01-01 00:20:00,18.58,46.32,155.1,0,0,0
2025-01-01 00:25:00,18.54,49.02,154.1,0,0,0
2025-01-01 00:30:00,19.41,44.65,160.5,0,0,0
2025-01-01 00:35:00,18.96,43.4,166.3,0,0,0
2025-01-01 00:40:00,18.31,42.24,150.6,0,0,0
2025-01-01 00:45:00,18.78,43.54,160.6,0,0,0
2025-01-01 00:50:00,18.24,44.93,158.9,0,0,0
2025-01-01 00:55:00,18.2,48.59,162.4,0,0,0
2025-01-01 01:00:00,18.52,43.96,159.2,0,0,0
2025-01-01 01:05:00,17.41,45.45,153.2,0,0,0
2025-01-01 01:10:00,17.48,44.97,154.0,0,0,0
2025-01-01 01:15:00,18.03,47.38,150.0,0,0,0
2025-01-01 01:20:00,17.77,50.05,157.7,0,0,0
2025-01-01 01:25:00,18.41,43.94,150.6,0,0,0
2025-01-01 01:30:00,17.77,44.02,158.2,0,0,0
2025-01-01 01:35:00,17.5,47.09,146.6,0,0,0
2025-01-01 01:40:00,18.91,46.36,141.7,0,0,0
2025-01-01 01:45:00,18.05,48.69,136.1,0,0,0
2025-01-01 01:50:00,18.17,46.17,133.4,0,0,0
2025-01-01 01:55:00,17.41,44.28,133.4,0,0,0
2025-01-01 02:00:00,17.83,46.18,141.9,0,0,0
2025-01-01 02:05:00,18.14,47.22,142.7,0,0,0
2025-01-01 02:10:00,17.5,46.64,132.1,0,0,0
2025-01-01 02:15:00,18.25,46.01,144.7,0,0,0
2025-01-01 02:20:00,17.75,47.13,138.3,0,0,0
2025-01-01 02:25:00,17.89,47.34,142.3,0,0,0
2025-01-01 02:30:00,17.72,47.76,150.7,0,0,0
2025-01-01 02:35:00,18.94,46.3,148.5,0,0,0
2025-01-01 02:40:00,18.0,44.67,144.2,0,0,0
2025-01-01 02:45:00,17.48,45.29,142.8,0,0,0
2025-01-01 02:50:00,18.41,47.41,138.3,0,0,0
2025-01-01 02:55:00,17.39,43.37,147.3,0,0,0
2025-01-01 03:00:00,18.1,45.74,151.6,0,0,0
2025-01-01 03:05:00,17.02,44.21,149.4,0,0,0
2025-01-01 03:10:00,17.34,45.06,155.3,0,0,0
2025-01-01 03:15:00,18.1,47.56,157.7,0,0,0
2025-01-01 03:20:00,18.38,45.38,157.3,0,0,0
2025-01-01 03:25:00,18.1,45.09,156.0,0,0,0
2025-01-01 03:30:00,17.97,42.28,160.6,0,0,0
2025-01-01 03:35:00,17.88,46.49,162.2,0,0,0
2025-01-01 03:40:00,17.31,46.29,154.4,0,0,0
2025-01-01 03:45:00,17.7,49.33,166.5,0,0,0
2025-01-01 03:50:00,17.84,44.38,158.2,0,0,0
2025-01-01 03:55:00,18.61,45.44,157.7,0,0,0
2025-01-01 04:00:00,18.27,45.5,159.9,0,0,0
2025-01-01 04:05:00,17.24,48.15,156.0,0,0,0
2025-01-01 04:10:00,18.3,44.81,157.9,0,0,0
2025-01-01 04:15:00,17.97,45.56,152.9,0,0,0
2025-01-01 04:20:00,17.84,46.22,146.5,0,0,0
2025-01-01 04:25:00,18.51,45.37,149.6,0,0,0
2025-01-01 04:30:00,18.74,44.11,140.3,0,0,0
2025-01-01 04:35:00,18.72,45.39,145.0,0,0,0
2025-01-01 04:40:00,17.86,47.15,142.9,0,0,0
2025-01-01 04:45:00,18.15,42.95,140.8,0,0,0
2025-01-01 04:50:00,18.5,45.27,140.3,0,0,0
2025-01-01 04:55:00,18.86,43.6,130.9,0,0,0
2025-01-01 05:00:00,18.16,47.39,137.3,0,0,0
2025-01-01 05:05:00,18.34,41.95,140.5,0,0,0
2025-01-01 05:10:00,17.92,43.88,141.2,0,0,0
2025-01-01 05:15:00,17.91,45.75,136.0,0,0,0
2025-01-01 05:20:00,18.95,48.13,148.4,0,0,0
2025-01-01 05:25:00,19.26,44.87,139.0,0,0,0
2025-01-01 05:30:00,18.58,43.89,149.6,0,0,0
2025-01-01 05:35:00,19.16,48.76,148.5,0,0,0
2025-01-01 05:40:00,18.88,42.1,144.9,0,0,0
2025-01-01 05:45:00,18.42,40.6,158.8,0,0,0
2025-01-01 05:50:00,18.97,45.88,145.8,0,0,0
2025-01-01 05:55:00,19.6,44.0,158.1,0,0,0
2025-01-01 06:00:00,18.86,42.96,160.1,0,0,0
2025-01-01 06:05:00,19.71,46.42,153.2,0,0,0
2025-01-01 06:10:00,17.66,45.49,164.8,0,0,0
2025-01-01 06:15:00,19.43,43.87,157.6,0,0,0
2025-01-01 06:20:00,19.12,42.44,161.0,0,0,0
2025-01-01 06:25:00,18.97,46.74,161.2,0,0,0
2025-01-01 06:30:00,19.22,46.3,159.3,0,0,0
2025-01-01 06:35:00,18.23,44.8,163.8,0,0,0
2025-01-01 06:40:00,19.17,48.69,163.1,0,0,0
2025-01-01 06:45:00,19.51,42.86,149.5,0,0,0
2025-01-01 06:50:00,20.13,41.95,163.6,0,0,0
2025-01-01 06:55:00,19.18,43.62,147.3,0,0,0
2025-01-01 07:00:00,19.1,73.64,159.2,0,0,0
2025-01-01 07:05:00,19.31,66.61,158.0,0,0,0
2025-01-01 07:10:00,20.07,71.55,145.1,0,0,0
2025-01-01 07:15:00,19.84,71.11,146.7,0,0,0
2025-01-01 07:20:00,19.47,63.46,141.4,0,0,0
2025-01-01 07:25:00,20.05,70.31,144.2,0,0,0
2025-01-01 07:30:00,19.9,64.96,142.2,0,0,0
2025-01-01 07:35:00,20.4,71.92,146.3,0,0,0
2025-01-01 07:40:00,19.62,68.7,147.9,0,0,0
2025-01-01 07:45:00,19.87,71.9,147.6,0,0,0
2025-01-01 07:50:00,19.9,69.11,137.3,0,0,0
2025-01-01 07:55:00,19.43,68.89,139.0,0,0,0
2025-01-01 08:00:00,20.37,46.29,131.8,1,0,0
2025-01-01 08:05:00,20.42,47.66,136.7,1,0,0
2025-01-01 08:10:00,20.35,45.39,146.3,0,0,0
2025-01-01 08:15:00,20.3,46.42,150.7,0,0,0
2025-01-01 08:20:00,19.77,44.82,137.8,0,0,0
2025-01-01 08:25:00,20.33,47.88,142.5,0,0,0
2025-01-01 08:30:00,20.44,43.65,147.1,0,0,0
2025-01-01 08:35:00,20.27,48.6,150.4,0,0,0
2025-01-01 08:40:00,20.66,44.92,146.8,0,0,0
2025-01-01 08:45:00,21.01,42.14,154.7,0,0,0
2025-01-01 08:50:00,21.81,45.26,151.9,0,0,0
2025-01-01 08:55:00,21.02,43.64,155.8,0,0,0
2025-01-01 09:00:00,21.13,46.68,160.0,0,0,0
2025-01-01 09:05:00,21.03,43.69,158.4,0,0,0
2025-01-01 09:10:00,20.17,44.11,157.0,0,0,0
2025-01-01 09:15:00,21.18,41.22,159.2,0,0,0
2025-01-01 09:20:00,21.29,44.1,159.6,0,0,0
2025-01-01 09:25:00,22.56,40.15,158.0,0,0,0
2025-01-01 09:30:00,21.3,41.83,158.2,0,0,0
2025-01-01 09:35:00,21.61,46.52,166.7,0,0,0
2025-01-01 09:40:00,21.5,46.57,160.5,0,0,0
2025-01-01 09:45:00,21.0,45.85,154.9,0,0,0
2025-01-01 09:50:00,22.22,43.07,158.4,0,0,0
2025-01-01 09:55:00,22.09,44.9,151.6,0,0,0
2025-01-01 10:00:00,22.17,44.99,157.4,0,0,0
2025-01-01 10:05:00,21.38,42.68,151.5,0,0,0
2025-01-01 10:10:00,22.6,48.01,147.3,0,0,0
2025-01-01 10:15:00,21.26,46.75,148.4,0,0,0
2025-01-01 10:20:00,22.32,44.56,136.7,0,0,0
2025-01-01 10:25:00,23.18,45.05,137.5,0,0,0
2025-01-01 10:30:00,21.65,45.42,135.9,0,0,0
2025-01-01 10:35:00,21.93,40.92,141.7,0,0,0
2025-01-01 10:40:00,22.32,44.51,149.0,0,0,0
2025-01-01 10:45:00,22.08,43.64,151.2,0,0,0
2025-01-01 10:50:00,21.61,43.0,143.2,0,0,0
2025-01-01 10:55:00,22.48,44.44,142.9,0,0,0
2025-01-01 11:00:00,21.97,48.6,132.1,0,0,0
2025-01-01 11:05:00,22.79,46.28,139.3,0,0,0
2025-01-01 11:10:00,22.15,43.86,139.3,0,0,0
2025-01-01 11:15:00,23.44,46.15,141.6,0,0,0
2025-01-01 11:20:00,22.33,47.8,145.5,0,0,0
2025-01-01 11:25:00,22.61,46.85,145.7,0,0,0
2025-01-01 11:30:00,23.23,45.12,140.0,0,0,0
2025-01-01 11:35:00,22.26,43.71,155.4,0,0,0
2025-01-01 11:40:00,23.04,46.4,148.1,0,0,0
2025-01-01 11:45:00,23.63,45.79,156.3,0,0,0
2025-01-01 11:50:00,22.22,46.79,166.9,0,0,0
2025-01-01 11:55:00,23.17,46.27,153.2,0,0,0
2025-01-01 12:00:00,23.25,47.1,146.2,0,0,0
2025-01-01 12:05:00,23.56,43.93,158.1,0,0,0
2025-01-01 12:10:00,22.59,47.63,165.4,0,0,0
2025-01-01 12:15:00,22.6,45.4,169.8,0,0,0
2025-01-01 12:20:00,23.56,49.15,153.6,0,0,0
2025-01-01 12:25:00,23.49,43.62,161.6,0,0,0
2025-01-01 12:30:00,23.51,48.47,155.9,0,0,0
2025-01-01 12:35:00,23.59,45.4,156.6,0,0,0
2025-01-01 12:40:00,23.12,43.7,168.9,0,0,0
